name, result, total time, z3 time, generalization time, recursive block time, propagation time, refinement time, minimization time, number of z3 calls, added diagrams per frame, greates number of literas per frame, # refinements, # initial preds, # final preds, max size, # used preds

converging_unsafe_2_a1_b0-src_a1-dst_b0.in, unsafe,  4.430,  1.370,  0.255,  3.448,  0.777,  0.071,  2.214,  24,  {0: 1; 1: 2; 2: 3},  {0: 11; 1: 5},  0,  5,  0,  0,  0 

illinois.in, safe,  127.480,  55.046,  57.119,  87.187,  38.973,  0.032,  13.698,  87,  {0: 1; 1: 1; 2: 3; 3: 5; 4: 5; 5: 4},  {0: 21; 1: 42; 2: 42; 3: 42; 4: 23},  1,  4,  9,  0,  8 

ring_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

swimming-pool.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

crash2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_2_s_d-src_s-dst_d.in, unsafe,  354.954,  158.932,  136.676,  279.163,  74.938,  0.315,  56.217,  87,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 10; 5: 5},  {0: 35; 1: 59; 2: 59; 3: 31},  2,  4,  0,  0,  0 

network_safe_3_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bw-bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system_4.in, safe,  188.121,  124.858,  32.892,  82.181,  103.925,  0.064,  5.314,  1327,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 5; 5: 20; 6: 35; 7: 43; 8: 35; 9: 29; 10: 34; 11: 25},  {0: 16; 1: 16; 2: 19; 3: 19; 4: 19; 5: 19; 6: 19; 7: 19; 8: 19; 9: 19; 10: 19},  3,  9,  19,  0,  17 

ticket.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_safe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_3_s_d-src_s-dst_d.in, unsafe,  1.953,  0.505,  0.202,  1.394,  0.319,  0.072,  0.712,  32,  {0: 1; 1: 2; 2: 2; 3: 3},  {0: 14; 1: 9; 2: 5},  0,  5,  0,  0,  0 

network_unsafe_3_d_e-src_d-dst_e.in, unsafe,  1607.267,  578.327,  643.959,  1223.801,  380.011,  1.283,  375.958,  75,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 8},  {0: 137; 1: 96; 2: 62; 3: 35; 4: 15},  0,  15,  0,  0,  0 

crash3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

burns.in, safe,  763.078,  539.369,  162.838,  270.688,  488.710,  0.110,  49.734,  573,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 5; 5: 5; 6: 13; 7: 18; 8: 11; 9: 20; 10: 4},  {0: 17; 1: 17; 2: 17; 3: 17; 4: 17; 5: 17; 6: 17; 7: 17; 8: 33; 9: 33},  2,  4,  12,  0,  11 

bakery_t.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

mesi_ca.in, safe,  0.867,  0.275,  0.143,  0.425,  0.256,  0.006,  0.021,  63,  {0: 1; 1: 1; 2: 2; 3: 10; 4: 3},  {0: 6; 1: 6; 2: 6; 3: 6},  1,  4,  6,  0,  6 

ring_unsafe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_unsafe_1_a0_b0-src_a0-dst_b0.in, unsafe,  0.469,  0.120,  0.045,  0.308,  0.063,  0.019,  0.154,  11,  {0: 1; 1: 2},  {0: 3},  0,  3,  0,  0,  0 

dijkstra_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

moesi.in, safe,  6.576,  2.582,  2.722,  4.247,  1.925,  0.019,  0.679,  47,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 1},  {0: 9; 1: 23; 2: 23; 3: 23; 4: 23},  1,  3,  9,  0,  5 

ring_safe_2_s_d-src_s-dst_d.in, safe,  825.861,  525.959,  249.264,  394.916,  429.859,  0.107,  46.810,  123,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 10; 5: 6; 6: 4},  {0: 35; 1: 68; 2: 68; 3: 68; 4: 37; 5: 15},  2,  4,  15,  0,  11 

carverS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_unsafe_5_a2_b0-src_a2-dst_b0.in, unsafe,  208.139,  51.625,  41.504,  176.851,  30.388,  0.467,  109.803,  51,  {0: 1; 1: 1; 2: 5; 3: 6; 4: 3},  {0: 36; 1: 36; 2: 23},  0,  11,  0,  0,  0 

Ricart-Agrawala.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

filter-simple.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_safe_5_a2_b0-src_a2-dst_b0.in, safe,  83.252,  18.592,  16.586,  74.608,  8.143,  0.000,  44.424,  54,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4; 5: 5},  {0: 65; 1: 50; 2: 36; 3: 23; 4: 11},  0,  11,  11,  0,  6 

converging_safe_1_a0_b0-src_a0-dst_b0.in, safe,  0.185,  0.064,  0.036,  0.079,  0.044,  0.000,  0.002,  8,  {0: 1; 1: 2},  {0: 3},  0,  3,  3,  0,  2 

bakery.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_safe_1_s_d-src_s-dst_d.in, safe,  586.826,  353.296,  218.404,  274.018,  311.249,  0.114,  12.824,  69,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 7; 5: 1},  {0: 13; 1: 164; 2: 73; 3: 23; 4: 23},  2,  3,  23,  0,  7 

system_2.in, safe,  12.069,  5.623,  2.957,  6.722,  5.076,  0.016,  0.496,  273,  {0: 1; 1: 1; 2: 3; 3: 5; 4: 8; 5: 11; 6: 20; 7: 8},  {0: 8; 1: 11; 2: 11; 3: 11; 4: 11; 5: 11; 6: 11},  1,  8,  11,  0,  10 

sequence_unsafe_5_s_d-src_s-dst_d.in, unsafe,  140.477,  23.138,  4.297,  137.281,  1.795,  0.978,  110.239,  65,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 5},  {0: 37; 1: 28; 2: 20; 3: 13; 4: 7},  0,  7,  0,  0,  0 

sequence_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

synapse.in, safe,  4.633,  1.887,  1.834,  2.810,  1.432,  0.028,  0.447,  38,  {0: 1; 1: 1; 2: 1; 3: 2; 4: 2; 5: 1},  {0: 9; 1: 19; 2: 19; 3: 19; 4: 19},  1,  3,  7,  0,  5 

converging_unsafe_6_a3_b0-src_a3-dst_b0.in, unsafe,  842.442,  370.554,  92.110,  730.692,  110.415,  0.466,  366.765,  91,  {0: 1; 1: 1; 2: 5; 3: 9; 4: 8; 5: 3},  {0: 58; 1: 58; 2: 42; 3: 27},  0,  13,  0,  0,  0 

ring_safe_3_s_d-src_s-dst_d.in, safe,  1885.402,  1337.950,  471.737,  685.656,  1197.935,  0.212,  71.715,  88,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 5; 5: 5; 6: 3},  {0: 136; 1: 136; 2: 86; 3: 86; 4: 47; 5: 19},  1,  5,  19,  0,  10 

sequence_unsafe_2_s_d-src_s-dst_d.in, unsafe,  0.707,  0.196,  0.116,  0.475,  0.096,  0.024,  0.139,  21,  {0: 1; 1: 1; 2: 4},  {0: 7; 1: 4},  0,  4,  0,  0,  0 

sz_fp.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

converging_safe_2_a1_b0-src_a1-dst_b0.in, safe,  1.117,  0.260,  0.200,  0.918,  0.098,  0.000,  0.407,  15,  {0: 1; 1: 1; 2: 4},  {0: 11; 1: 5},  0,  5,  5,  0,  3 

jml.in, safe,  707.327,  273.213,  344.195,  504.636,  193.408,  0.026,  83.558,  291,  {0: 1; 1: 3; 2: 2; 3: 4; 4: 6; 5: 12; 6: 10; 7: 12; 8: 9},  {0: 50; 1: 50; 2: 50; 3: 34; 4: 34; 5: 34; 6: 21; 7: 21},  1,  6,  11,  0,  12 

messenger_unsafe_5_a0_a5-src_a0-dst_a5.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

futurebus.in, unsafe,  111.601,  46.831,  47.279,  79.360,  31.060,  0.107,  15.626,  55,  {0: 1; 1: 1; 2: 2; 3: 10},  {0: 37; 1: 63; 2: 37},  1,  4,  0,  0,  0 

mux-sem-param.in, safe,  7.097,  2.430,  3.065,  5.297,  1.390,  0.018,  0.971,  50,  {0: 1; 1: 1; 2: 1; 3: 5; 4: 5},  {0: 10; 1: 22; 2: 22; 3: 22},  1,  4,  10,  0,  6 

tricky.in, safe,  0.080,  0.026,  0.012,  0.026,  0.013,  0.000,  0.001,  5,  {0: 1; 1: 1},  {0: 2},  0,  2,  2,  0,  1 

order.in, safe,  109.001,  61.492,  39.393,  55.147,  51.123,  0.000,  5.906,  152,  {0: 1; 1: 2; 2: 3; 3: 4; 4: 4; 5: 5; 6: 8},  {0: 21; 1: 21; 2: 21; 3: 21; 4: 21; 5: 21},  0,  8,  8,  0,  8 

messenger_safe_3_a0_a3-src_a0-dst_a3.in, safe,  61.707,  32.712,  10.046,  26.374,  32.533,  0.000,  6.071,  234,  {0: 1; 1: 3; 2: 11; 3: 33; 4: 3; 5: 5},  {0: 34; 1: 24; 2: 24; 3: 24; 4: 24},  0,  24,  24,  0,  17 

csm.in, safe,  0.173,  0.049,  0.043,  0.083,  0.034,  0.000,  0.002,  5,  {0: 1; 1: 1},  {0: 16},  0,  16,  16,  0,  2 

simple.in, safe,  0.420,  0.143,  0.063,  0.234,  0.064,  0.010,  0.023,  26,  {0: 1; 1: 1; 2: 2; 3: 2},  {0: 3; 1: 4; 2: 4},  2,  2,  4,  0,  3 

arp_unsafe_1.in, unsafe,  6.980,  1.932,  2.454,  6.106,  0.450,  0.073,  1.622,  51,  {0: 1; 1: 6; 2: 4; 3: 4},  {0: 27; 1: 11; 2: 14},  1,  11,  0,  0,  0 

Fischer_from_tutorial.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

system_1.in, safe,  5.710,  2.429,  1.384,  3.054,  2.349,  0.025,  0.224,  159,  {0: 1; 1: 3; 2: 6; 3: 5; 4: 16; 5: 1},  {0: 7; 1: 9; 2: 11; 3: 11; 4: 11},  2,  7,  11,  0,  11 

converging_unsafe_4_a2_b0-src_a2-dst_b0.in, unsafe,  113.876,  27.439,  5.491,  100.897,  12.440,  0.219,  77.708,  48,  {0: 1; 1: 1; 2: 5; 3: 5; 4: 3},  {0: 30; 1: 30; 2: 19},  0,  9,  0,  0,  0 

sequence_unsafe_4_s_d-src_s-dst_d.in, unsafe,  8.198,  2.580,  0.547,  6.949,  0.730,  0.243,  3.849,  48,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4},  {0: 24; 1: 17; 2: 11; 3: 6},  0,  6,  0,  0,  0 

ring_unsafe_4_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski+.in, safe,  328.518,  192.542,  112.285,  154.692,  165.495,  0.033,  19.230,  197,  {0: 1; 1: 2; 2: 3; 3: 6; 4: 8; 5: 16; 6: 2},  {0: 11; 1: 33; 2: 33; 3: 33; 4: 33; 5: 33},  1,  4,  14,  0,  8 

converging_safe_4_a2_b0-src_a2-dst_b0.in, safe,  20.650,  5.988,  2.345,  17.229,  3.125,  0.000,  10.646,  38,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 4},  {0: 42; 1: 30; 2: 19; 3: 9},  0,  9,  9,  0,  5 

german_07.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

messenger_unsafe_1_a0_a1-src_a0-dst_a1.in, unsafe,  3.898,  1.529,  0.632,  2.026,  1.368,  0.030,  0.297,  98,  {0: 1; 1: 2; 2: 7; 3: 9; 4: 4; 5: 2},  {0: 14; 1: 8; 2: 8; 3: 8; 4: 8},  0,  8,  0,  0,  0 

ins-sort.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

carverW.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_4_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_pfs.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_2_d_e-src_d-dst_e.in, safe,  3498.837,  1392.970,  1720.592,  2353.439,  1137.720,  0.000,  368.381,  240,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 4; 5: 13; 6: 15; 7: 7; 8: 5},  {0: 73; 1: 73; 2: 73; 3: 73; 4: 48; 5: 48; 6: 28; 7: 13},  0,  13,  13,  0,  15 

ring_unsafe_1_s_d-src_s-dst_d.in, unsafe,  1.289,  0.421,  0.216,  0.943,  0.191,  0.035,  0.369,  23,  {0: 1; 1: 2; 2: 2},  {0: 13; 1: 6},  1,  3,  0,  0,  0 

messenger_safe_1_a0_a1-src_a0-dst_a1.in, safe,  6.876,  3.195,  1.169,  2.915,  3.167,  0.000,  0.237,  144,  {0: 1; 1: 3; 2: 15; 3: 8; 4: 4; 5: 6},  {0: 16; 1: 10; 2: 10; 3: 10; 4: 10},  0,  10,  10,  0,  10 

sequence_safe_2_s_d-src_s-dst_d.in, safe,  160.216,  100.226,  46.671,  72.390,  87.223,  0.094,  11.313,  88,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 10; 5: 2},  {0: 35; 1: 62; 2: 33; 3: 33; 4: 13},  2,  4,  13,  0,  7 

swim.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

messenger_unsafe_2_a0_a2-src_a0-dst_a2.in, unsafe,  253.346,  115.247,  65.400,  169.739,  77.618,  0.315,  49.066,  717,  {0: 1; 1: 5; 2: 7; 3: 21; 4: 27; 5: 18; 6: 19; 7: 4; 8: 13; 9: 12; 10: 12},  {0: 30; 1: 21; 2: 21; 3: 21; 4: 30; 5: 30; 6: 16; 7: 16; 8: 16; 9: 16},  1,  13,  0,  0,  0 

controller.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_unsafe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ticket_o.in, safe,  25.680,  9.737,  9.062,  17.730,  7.262,  0.044,  1.164,  438,  {0: 1; 1: 1; 2: 1; 3: 7; 4: 20; 5: 20; 6: 21; 7: 23; 8: 17},  {0: 10; 1: 11; 2: 11; 3: 11; 4: 11; 5: 11; 6: 11; 7: 11},  3,  5,  11,  0,  11 

messenger_safe_4_a0_a4-src_a0-dst_a4.in, safe,  166.818,  92.524,  26.377,  67.478,  94.193,  0.000,  20.050,  327,  {0: 1; 1: 2; 2: 22; 3: 39; 4: 4; 5: 1},  {0: 43; 1: 31; 2: 31; 3: 31; 4: 31},  0,  31,  31,  0,  21 

system_3.in, safe,  7.732,  3.526,  1.600,  3.476,  3.980,  0.024,  0.265,  195,  {0: 1; 1: 2; 2: 5; 3: 13; 4: 7; 5: 5},  {0: 15; 1: 15; 2: 15; 3: 15; 4: 15},  2,  8,  15,  0,  13 

sequence_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_unsafe_1_s_d-src_s-dst_d.in, unsafe,  0.215,  0.066,  0.029,  0.109,  0.032,  0.008,  0.025,  11,  {0: 1; 1: 2},  {0: 3},  0,  3,  0,  0,  0 

network_unsafe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

MIS.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

German.in, safe,  1.007,  0.410,  0.177,  0.355,  0.481,  0.000,  0.008,  27,  {0: 1; 1: 6},  {0: 11},  0,  11,  11,  0,  3 

dijkstra0.in, safe,  231.566,  131.345,  81.394,  107.512,  116.081,  0.030,  14.791,  182,  {0: 1; 1: 3; 2: 3; 3: 9; 4: 21; 5: 2},  {0: 12; 1: 36; 2: 36; 3: 36; 4: 36},  1,  5,  16,  0,  10 

Fischer_0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Fischer.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_safe_6_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

xerox.in, safe,  160.140,  63.006,  68.999,  122.992,  34.793,  0.029,  24.148,  134,  {0: 1; 1: 1; 2: 3; 3: 3; 4: 6; 5: 7; 6: 6; 7: 9},  {0: 48; 1: 28; 2: 28; 3: 28; 4: 28; 5: 28; 6: 28},  1,  7,  13,  0,  8 

network_unsafe_1_d_e-src_d-dst_e.in, unsafe,  23.198,  7.217,  8.457,  19.285,  3.563,  0.085,  6.406,  38,  {0: 1; 1: 2; 2: 2; 3: 4; 4: 1},  {0: 32; 1: 32; 2: 9},  0,  9,  0,  0,  0 

mesi.in, safe,  11.757,  4.845,  5.324,  7.521,  3.806,  0.014,  1.060,  42,  {0: 1; 1: 1; 2: 2; 3: 4; 4: 1},  {0: 18; 1: 30; 2: 17; 3: 17},  1,  3,  7,  0,  7 

mux_sem.in, safe,  324.635,  124.969,  160.033,  230.160,  91.607,  0.018,  35.499,  211,  {0: 1; 1: 1; 2: 1; 3: 3; 4: 3; 5: 4; 6: 8; 7: 5; 8: 5; 9: 11},  {0: 22; 1: 40; 2: 63; 3: 63; 4: 63; 5: 40; 6: 40; 7: 22; 8: 22},  1,  3,  9,  0,  9 

bakery_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_07_harder_2.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

illinois_ca.in, safe,  2.829,  1.106,  0.428,  1.190,  1.223,  0.010,  0.048,  145,  {0: 1; 1: 4; 2: 3; 3: 12; 4: 8; 5: 6},  {0: 9; 1: 9; 2: 9; 3: 9; 4: 9},  1,  6,  9,  0,  9 

berkeley.in, safe,  2.488,  0.825,  1.062,  1.844,  0.419,  0.014,  0.317,  24,  {0: 1; 1: 1; 2: 1; 3: 3},  {0: 9; 1: 17; 2: 17},  1,  3,  7,  0,  4 

dijkstra.in, safe,  1209.700,  657.049,  441.949,  635.919,  551.761,  0.030,  99.650,  406,  {0: 1; 1: 1; 2: 2; 3: 3; 4: 5; 5: 14; 6: 24; 7: 21; 8: 4},  {0: 48; 1: 48; 2: 48; 3: 27; 4: 27; 5: 27; 6: 27; 7: 27},  1,  5,  11,  0,  11 

converging_unsafe_3_a1_b0-src_a1-dst_b0.in, unsafe,  19.608,  4.539,  1.388,  16.817,  2.491,  0.128,  12.460,  29,  {0: 1; 1: 1; 2: 6; 3: 1},  {0: 15; 1: 15},  0,  7,  0,  0,  0 

converging_safe_3_a1_b0-src_a1-dst_b0.in, safe,  4.728,  1.669,  0.493,  3.611,  0.947,  0.000,  1.930,  24,  {0: 1; 1: 2; 2: 2; 3: 3},  {0: 24; 1: 15; 2: 7},  0,  7,  7,  0,  4 

messenger_unsafe_3_a0_a3-src_a0-dst_a3.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

crash.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_ca.in, safe,  2.890,  1.069,  0.416,  1.388,  1.210,  0.017,  0.058,  143,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 8; 5: 2; 6: 9; 7: 5},  {0: 9; 1: 9; 2: 12; 3: 12; 4: 12; 5: 12; 6: 12},  1,  9,  12,  0,  9 

alternating.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

szymanski_at.in, safe,  6936.089,  3642.353,  2787.555,  3764.787,  3131.427,  0.030,  466.067,  1261,  {0: 1; 1: 1; 2: 1; 3: 6; 4: 3; 5: 5; 6: 13; 7: 22; 8: 33; 9: 34; 10: 26; 11: 27; 12: 10; 13: 11},  {0: 25; 1: 25; 2: 42; 3: 42; 4: 25; 5: 42; 6: 42; 7: 25; 8: 25; 9: 25; 10: 25; 11: 25; 12: 25},  1,  6,  11,  0,  12 

sendOmission.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

bakery_bogus.in, unsafe,  4134.463,  886.743,  2657.443,  3769.808,  268.760,  0.118,  566.442,  447,  {0: 1; 1: 4; 2: 4; 3: 9; 4: 21; 5: 36; 6: 76},  {0: 31; 1: 31; 2: 31; 3: 31; 4: 31; 5: 31},  1,  6,  0,  0,  0 

arp_safe_0.in, safe,  25.686,  10.084,  13.025,  15.373,  9.129,  0.025,  0.388,  114,  {0: 1; 1: 4; 2: 11; 3: 7},  {0: 15; 1: 15; 2: 15},  1,  11,  15,  0,  9 

mux-sem.in, safe,  7.143,  2.686,  2.138,  4.394,  2.444,  0.009,  0.340,  217,  {0: 1; 1: 1; 2: 1; 3: 8; 4: 11; 5: 9; 6: 15; 7: 6},  {0: 5; 1: 7; 2: 7; 3: 7; 4: 7; 5: 7; 6: 7},  1,  5,  7,  0,  7 

network_safe_1_d_e-src_d-dst_e.in, safe,  136.577,  46.036,  70.904,  103.380,  32.196,  0.000,  16.188,  110,  {0: 1; 1: 1; 2: 4; 3: 3; 4: 8; 5: 8; 6: 5},  {0: 33; 1: 33; 2: 33; 3: 33; 4: 20; 5: 10},  0,  10,  10,  0,  11 

converging_safe_6_a3_b0-src_a3-dst_b0.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

german_07_harder_1.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Distrib_Lamport.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

token_ring.in, safe,  30.163,  14.447,  10.556,  17.980,  11.024,  0.080,  3.518,  95,  {0: 1; 1: 2; 2: 2; 3: 7; 4: 7},  {0: 14; 1: 33; 2: 33; 3: 33},  2,  6,  15,  0,  8 

messenger_safe_2_a0_a2-src_a0-dst_a2.in, safe,  331.152,  210.686,  21.146,  139.083,  181.691,  0.000,  58.503,  953,  {0: 1; 1: 2; 2: 17; 3: 6; 4: 14; 5: 24; 6: 19; 7: 60; 8: 14; 9: 20; 10: 39},  {0: 34; 1: 34; 2: 34; 3: 25; 4: 25; 5: 25; 6: 25; 7: 25; 8: 17; 9: 17},  0,  17,  17,  0,  17 

moesi_ca.in, safe,  1.300,  0.440,  0.187,  0.563,  0.532,  0.008,  0.027,  83,  {0: 1; 1: 1; 2: 1; 3: 13; 4: 3},  {0: 8; 1: 8; 2: 8; 3: 8},  1,  6,  8,  0,  6 

reader.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_5_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_safe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

network_unsafe_2_d_e-src_d-dst_e.in, unsafe,  228.684,  81.544,  95.429,  175.118,  52.546,  0.303,  48.431,  57,  {0: 1; 1: 2; 2: 2; 3: 3; 4: 7},  {0: 72; 1: 47; 2: 27; 3: 12},  0,  12,  0,  0,  0 

network_unsafe_6_d_e-src_d-dst_e.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_safe_1_s_d-src_s-dst_d.in, safe,  1819.000,  1059.707,  726.053,  868.154,  949.238,  0.148,  30.137,  80,  {0: 1; 1: 2; 2: 2; 3: 2; 4: 9; 5: 2},  {0: 13; 1: 143; 2: 67; 3: 67; 4: 22},  2,  3,  22,  0,  13 

Fischer_U.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

Fischer_buggy.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sz_fp_ver.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

messenger_unsafe_4_a0_a4-src_a0-dst_a4.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

ring_safe_5_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

sequence_safe_3_s_d-src_s-dst_d.in, ?, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 

